NAME;LOCATION;STATUS;LATITUDE;NS;LONGITUDE;EW;ELEV;TYPE
West Eifel Volc Field;Germany;Radiocarbon;50.17;N;6.85;E;600;Maar
Chaine des Puys;France;Radiocarbon;45.775;N;2.97;E;1464;Cinder cone
Olot Volc Field;Spain;Holocene;42.17;N;2.53;E;893;Pyroclastic cone
Larderello;Italy;Historical;43.25;N;10.87;E;500;Explosion crater
Amiata;Italy;Pleistocene-Fumarolic;42.9;N;11.63;E;1738;Lava dome
Vulsini;Italy;Historical;42.6;N;11.93;E;800;Caldera
Alban Hills;Italy;Holocene;41.73;N;12.70;E;949;Caldera
Campi Flegrei;Italy;Historical;40.827;N;14.14;E;458;Caldera
Vesuvius;Italy;Historical;40.821;N;14.43;E;1281;Somma volcano
Ischia;Italy;Historical;40.73;N;13.90;E;789;Complex volcano
Panarea;Italy;Pleistocene-Fumarolic;38.63;N;15.07;E;421;Stratovolcano
Lipari;Italy;Historical;38.48;N;14.95;E;602;Stratovolcano
Stromboli;Italy;Historical;38.789;N;15.21;E;924;Stratovolcano
Vulcano;Italy;Historical;38.404;N;14.96;E;500;Stratovolcano
Etna;Italy;Historical;37.734;N;15.00;E;3350;Stratovolcano
Pantelleria;Italy;Historical;36.77;N;12.02;E;836;Shield volcano
Campi Flegrei Mar Sicilia;Italy;Historical;37.1;N;12.70;E;-8;Submarine volcano
Methana;Greece;Historical;37.615;N;23.34;E;760;Lava dome
Milos;Greece;Radiocarbon;36.699;N;24.44;E;751;Stratovolcano
Santorini;Greece;Historical;36.404;N;25.40;E;367;Shield volcano
Yali;Greece;Holocene;36.671;N;27.14;E;180;Lava dome
Nisyros;Greece;Historical;36.586;N;27.16;E;698;Stratovolcano
Kos;Greece;Pleistocene-Fumarolic;36.852;N;27.25;E;430;Caldera
Kula;Turkey;Holocene;38.58;N;28.52;E;750;Cinder cone
Karapinar Field;Turkey;Holocene;37.67;N;33.65;E;1302;Cinder cone
Hasan Dagi;Turkey;Anthropology;38.13;N;34.17;E;3253;Stratovolcano
Gollu Dag;Turkey;Holocene;38.25;N;34.57;E;2143;Lava dome
Acigol-Nevsehir;Turkey;Anthropology;38.57;N;34.52;E;1689;Caldera
Karaca Dag;Turkey;Holocene;37.67;N;39.83;E;1957;Shield volcano
Erciyes Dagi;Turkey;Holocene;38.52;N;35.48;E;3916;Stratovolcano
Suphan Dagi;Turkey;Holocene;38.92;N;42.82;E;4158;Stratovolcano
Girekol;Turkey;Holocene;39.17;N;43.33;E;;Unknown
Nemrut Dagi;Turkey;Historical;38.65;N;42.23;E;2948;Stratovolcano
Tendurek Dagi;Turkey;Historical;39.37;N;43.87;E;3584;Shield volcano
Ararat;Turkey;Historical;39.7;N;44.30;E;5165;Stratovolcano
Kars Plateau;Turkey;Holocene;40.75;N;42.90;E;3000;Volcanic field
